ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО-ГОРОД ВАТИКАН);THE PAPAL SEE (VATICAN CITY STATE);VAT;336;FPP_CITIZENSHIP_VAT
КОНГО;CONGO;COG;178;FPP_CITIZENSHIP_COG
МОНАКО;MONACO;MCO;492;FPP_CITIZENSHIP_MCO
УЗБЕКИСТАН;Uzbekistan;UZB;860;FPP_CITIZENSHIP_UZB
СУРИНАМ;SURINAME;SUR;740;FPP_CITIZENSHIP_SUR
ЛИВАН;Lebanon;LBN;422;FPP_CITIZENSHIP_LBN
ПАРАГВАЙ;PARAGUAY;PRY;600;FPP_CITIZENSHIP_PRY
ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ;FRENCH SOUTHERN TERRITORIES;ATF;260;FPP_CITIZENSHIP_ATF
АЛЖИР;ALGERIA;DZA;12;FPP_CITIZENSHIP_DZA
ЧАД;CHAD;TCD;148;FPP_CITIZENSHIP_TCD
ГРУЗИЯ;Georgia;GEO;268;FPP_CITIZENSHIP_GEO
АНТИГУА И БАРБУДА;ANTIGUA AND BARBUDA;ATG;28;FPP_CITIZENSHIP_ATG
ЮГОСЛАВИЯ;Yugoslavia;YUG;0;FPP_CITIZENSHIP_YUG
ГОЛЛАНДИЯ;HOLLAND;GLO;0;FPP_CITIZENSHIP_GLO
ЛУГАНСКАЯ НАРОДНАЯ РЕСПУБЛИКА;LUHANSK PEOPLE'S REPUBLIC;LR;898;FPP_CITIZENSHIP_LR
ГОНКОНГ;HONG KONG;HKG;344;FPP_CITIZENSHIP_HKG
АБХАЗИЯ;Abkhazia;ABH;895;FPP_CITIZENSHIP_ABH
СЛОВЕНИЯ;SLOVENIA;SVN;705;FPP_CITIZENSHIP_SVN
ЛУГАНСКАЯ НАРОДНАЯ РЕСПУБЛИКА;LUHANSK PEOPLE'S REPUBLIC;LNR;898;FPP_CITIZENSHIP_LNR
САН-МАРИНО;SAN MARINO;SMR;674;FPP_CITIZENSHIP_SMR
ЮЖНАЯ ОСЕТИЯ;SOUTH OSSETIA;OST;896;FPP_CITIZENSHIP_OST
УОЛЛИС И ФУТУНА;WALLIS AND FUTUNA;WLF;876;FPP_CITIZENSHIP_WLF
ЯМАЙКА;JAMAICA;JAM;388;FPP_CITIZENSHIP_JAM
ГАИТИ;HAITI;HTI;332;FPP_CITIZENSHIP_HTI
СУДАН;SUDAN;SDN;736;FPP_CITIZENSHIP_SDN
БУРУНДИ;BURUNDI;BDI;108;FPP_CITIZENSHIP_BDI
ЛЮКСЕМБУРГ;LUXEMBOURG;LUX;442;FPP_CITIZENSHIP_LUX
АНДОРРА;ANDORRA;AND;20;FPP_CITIZENSHIP_AND
АНГОЛА;ANGOLA;AGO;24;FPP_CITIZENSHIP_AGO
ГЕРНСИ;GUERNSEY;GGY;831;FPP_CITIZENSHIP_GGY
ШВЕЦИЯ;Sweden;SWE;752;FPP_CITIZENSHIP_SWE
ЛАОССКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА;LAO PEOPLE'S DEMOCRATIC REPUBLIC;LAO;418;FPP_CITIZENSHIP_LAO
МАДАГАСКАР;MADAGASCAR;MDG;450;FPP_CITIZENSHIP_MDG
ТРИНИДАД И ТОБАГО;TRINIDAD AND TOBAGO;TTO;780;FPP_CITIZENSHIP_TTO
АРМЕНИЯ;armenia;ARM;51;FPP_CITIZENSHIP_ARM
ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД;HEARD ISLAND AND MCDONALD ISLANDS;HMD;334;FPP_CITIZENSHIP_HMD
ЛИБЕРИЯ;LIBERIA;LBR;430;FPP_CITIZENSHIP_LBR
СОЕДИНЕННОЕ КОРОЛЕВСТВО (ВЕЛИКОБРИТАНИЯ);UNITED KINGDOM (GREAT BRITAIN);GBR;826;FPP_CITIZENSHIP_GBR
ФОЛКЛЕНДСКИЕ (МАЛЬВИНСКИЕ) ОСТРОВА;FALKLAND ISLANDS (MALVINAS);FLK;238;FPP_CITIZENSHIP_FLK
ЛИВИЯ;LIBYA;LBY;434;FPP_CITIZENSHIP_LBY
КОМОРЫ;MOSQUITOES;COM;174;FPP_CITIZENSHIP_COM
СЛОВАКИЯ;SLOVAKIA;SVK;703;FPP_CITIZENSHIP_SVK
МАЛЫЕ ОСТРОВНЫЕ ТЕРРИТОРИИ США;SMALL ISLAND TERRITORIES OF THE USA;UMI;581;FPP_CITIZENSHIP_UMI
ДОМИНИКАНСКАЯ РЕСПУБЛИКА;THE DOMINICAN REPUBLIC;DOM;214;FPP_CITIZENSHIP_DOM
ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ;FRENCH POLYNESIA;PYF;258;FPP_CITIZENSHIP_PYF
СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА;THE SYRIAN ARAB REPUBLIC;SYR;760;FPP_CITIZENSHIP_SYR
НИГЕРИЯ;NIGERIA;NGA;566;FPP_CITIZENSHIP_NGA
АЛБАНИЯ;ALBANIA;ALB;8;FPP_CITIZENSHIP_ALB
МОЗАМБИК;MOZAMBIQUE;MOZ;508;FPP_CITIZENSHIP_MOZ
БАРБАДОС;BARBADOS;BRB;52;FPP_CITIZENSHIP_BRB
АМЕРИКАНСКОЕ САМОА;AMERICAN SAMOA;ASM;16;FPP_CITIZENSHIP_ASM
САНТА ПАНАГЕЯ;SANTA PANAGEA;SPA;0;FPP_CITIZENSHIP_SPA
НАМИБИЯ;NAMIBIA;NAM;516;FPP_CITIZENSHIP_NAM
ЭКВАДОР;ECUADOR;ECU;218;FPP_CITIZENSHIP_ECU
НОВАЯ КАЛЕДОНИЯ;NEW CALEDONIA;NCL;540;FPP_CITIZENSHIP_NCL
КАРИБСКИЕ ОСТРОВА;CARIBBEAN ISLANDS;CAR;0;FPP_CITIZENSHIP_CAR
ПАКИСТАН;PAKISTAN;PAK;586;FPP_CITIZENSHIP_PAK
БОЛГАРИЯ;Bulgaria;BGR;100;FPP_CITIZENSHIP_BGR
МОНГОЛИЯ;MONGOLIA;MNG;496;FPP_CITIZENSHIP_MNG
БЕЛЬГИЯ;Belgium;BEL;56;FPP_CITIZENSHIP_BEL
ЙЕМЕН;YEMEN;YEM;887;FPP_CITIZENSHIP_YEM
ИТАЛИЯ;Italy;ITA;380;FPP_CITIZENSHIP_ITA
НИКАРАГУА;NICARAGUA;NIC;558;FPP_CITIZENSHIP_NIC
БАНГЛАДЕШ;bangladesh;BGD;50;FPP_CITIZENSHIP_BGD
АВСТРАЛИЯ;Australia;AUS;36;FPP_CITIZENSHIP_AUS
КАМЕРУН;CAMEROON;CMR;120;FPP_CITIZENSHIP_CMR
ИСКЛЮЧИТЕЛЬНАЯ ЭКОНОМИЧЕСКАЯ ЗОНА;EXCLUSIVE ECONOMIC ZONE;IEZ;382;FPP_CITIZENSHIP_IEZ
РЕЮНЬОН;REUNION;REU;638;FPP_CITIZENSHIP_REU
ГВАДЕЛУПА;GUADELOUPE;GLP;312;FPP_CITIZENSHIP_GLP
ГОНДУРАС;HONDURAS;HND;340;FPP_CITIZENSHIP_HND
БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ;BRITISH INDIAN OCEAN TERRITORY;IOT;86;FPP_CITIZENSHIP_IOT
КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА;DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA;PRK;408;FPP_CITIZENSHIP_PRK
КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА;COCONUT (KEELING) ISLANDS;CCK;166;FPP_CITIZENSHIP_CCK
ЕГИПЕТ;Egypt;EGY;818;FPP_CITIZENSHIP_EGY
НИГЕР;NIGER;NER;562;FPP_CITIZENSHIP_NER
БРУНЕЙ-ДАРУССАЛАМ;BRUNEI DARUSSALAM;BRN;96;FPP_CITIZENSHIP_BRN
ИОРДАНИЯ;JORDAN;JOR;400;FPP_CITIZENSHIP_JOR
КИРИБАТИ;KIRIBATI;KIR;296;FPP_CITIZENSHIP_KIR
ЛЕСОТО;LESOTHO;LSO;426;FPP_CITIZENSHIP_LSO
БУТАН;BHUTAN;BTN;64;FPP_CITIZENSHIP_BTN
ИЗРАИЛЬ;Israel;ISR;376;FPP_CITIZENSHIP_ISR
ЗАМБИЯ;ZAMBIA;ZMB;894;FPP_CITIZENSHIP_ZMB
ВЕНЕСУЭЛА;VENEZUELA;VEN;862;FPP_CITIZENSHIP_VEN
МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ;MICRONESIA, FEDERATED STATES OF;FSM;583;FPP_CITIZENSHIP_FSM
КОСОВО;KOSOVO;KOS;0;FPP_CITIZENSHIP_KOS
ШПИЦБЕРГЕН И ЯН МАЙЕН;SVALBARD AND JAN MAYEN;SJM;744;FPP_CITIZENSHIP_SJM
МАЛЬДИВЫ;MALDIVES;MDV;462;FPP_CITIZENSHIP_MDV
ЭСТОНИЯ;estonia;EST;233;FPP_CITIZENSHIP_EST
ГИБРАЛТАР;GIBRALTAR;GIB;292;FPP_CITIZENSHIP_GIB
МАВРИКИЙ;MAURITIUS;MUS;480;FPP_CITIZENSHIP_MUS
СВАЗИЛЕНД;SWAZILAND;SWZ;748;FPP_CITIZENSHIP_SWZ
СЕНТ-ЛЮСИЯ;SAINT LUCIA;LCA;662;FPP_CITIZENSHIP_LCA
ЛИХТЕНШТЕЙН;LIECHTENSTEIN;LIE;438;FPP_CITIZENSHIP_LIE
ПАЛЬМА-ДЕ-МАЙОРКА;PALMA DE MALLORCA;PDM;0;FPP_CITIZENSHIP_PDM
АРГЕНТИНА;Argentina;ARG;32;FPP_CITIZENSHIP_ARG
ТОНГА;TONGA;TON;776;FPP_CITIZENSHIP_TON
БОЛИВИЯ;BOLIVIA;BOL;68;FPP_CITIZENSHIP_BOL
УГАНДА;UGANDA;UGA;800;FPP_CITIZENSHIP_UGA
ЮЖНАЯ АФРИКА;SOUTH AFRICA;ZAF;710;FPP_CITIZENSHIP_ZAF
САМОА;SAMOA;WSM;882;FPP_CITIZENSHIP_WSM
ВИРГИНСКИЕ ОСТРОВА (БРИТАНСКИЕ);VIRGIN ISLANDS (BRITISH);VGB;92;FPP_CITIZENSHIP_VGB
ДОМИНИКА;DOMINICA;DMA;212;FPP_CITIZENSHIP_DMA
СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ;SAINT HELENA, ASCENSION ISLAND, TRISTAN DA CUNHA;SHN;654;FPP_CITIZENSHIP_SHN
НОРВЕГИЯ;Norway;NOR;578;FPP_CITIZENSHIP_NOR
СИНГАПУР;Singapore;SGP;702;FPP_CITIZENSHIP_SGP
СОЕДИНЕННЫЕ ШТАТЫ АМЕРИКИ;United States of America;USA;840;FPP_CITIZENSHIP_USA
ТАНЗАНИЯ;TANZANIA;TZA;834;FPP_CITIZENSHIP_TZA
МОЛДОВА, РЕСПУБЛИКА;MOLDOVA, REPUBLIC OF;MDA;498;FPP_CITIZENSHIP_MDA
МАВРИТАНИЯ;Mauritania;MRT;478;FPP_CITIZENSHIP_MRT
НЕЙТРАЛЬНАЯ ЗОНА;NEUTRAL ZONE;NTZ;0;FPP_CITIZENSHIP_NTZ
ОСТРОВ МЭН;ISLE OF MAN;IMN;833;FPP_CITIZENSHIP_IMN
ЯПОНИЯ;Japan;JPN;392;FPP_CITIZENSHIP_JPN
